CODIGO;TITULO
02031100;02031100 - - - EN CANALES O MEDIAS CANALES
02031200;02031200 - - - JAMONES, PALETAS Y SUS TROZOS, SIN DESHUESAR
02031900;02031900 - - - Las demás
02032000;02032000 - - CONGELADA:
02032100;02032100 - - - EN CANALES O MEDIAS CANALES
02032200;02032200 - - - JAMONES, PALETAS Y SUS TROZOS, SIN DESHUESAR
02032900;02032900 - - - Las demás
0204;0204 - CARNE DE ANIMALES DE LAS ESPECIES OVINA O CAPRINA, FRESCA, R
02041000;02041000 - - CANALES O MEDIAS CANALES, DE CORDERO, FRESCAS O REFRIGERAD
02042000;02042000 - - LAS DEMAS CARNES DE ANIMALES DE LA ESPECIE OVINA,FRESCAS O
02042100;02042100 - - - EN CANALES O MEDIAS CANALES
02042200;02042200 - - - Los demás cortes (trozos) sin deshuesar
02042300;02042300 - - - DESHUESADAS
02043000;02043000 - - CANALES O MEDIAS CANALES, DE CORDERO, CONGELADAS
02044000;02044000 - - LAS DEMAS CARNES DE ANIMALES DE LA ESPECIE OVINA, CONGELAD
02044100;02044100 - - - EN CANALES O MEDIAS CANALES
02044200;02044200 - - - Los demás cortes (trozos) sin deshuesar
02044300;02044300 - - - DESHUESADAS
02045000;02045000 - - CARNE DE ANIMALES DE LA ESPECIE CAPRINA
0205;0205 - CARNE DE ANIMALES DE LAS ESPECIES CABALLAR, ASNAL O MULAR, F
02050000;02050000 - CARNE DE ANIMALES DE LAS ESPECIES CABALLAR, ASNAL O MULAR, F
0206;0206 - DESPOJOS COMESTIBLES DE ANIMALES DE LAS ESPECIES BOVINA, POR
02061000;02061000 - - DE LA ESPECIE BOVINA, FRESCOS O REFRIGERADOS
02062000;02062000 - - DE LA ESPECIE BOVINA, CONGELADOS:
02062100;02062100 - - - LENGUAS
02062200;02062200 - - - Hígados
02062900;02062900 - - - Los demás
02063000;02063000 - - DE LA ESPECIE PORCINA, FRESCOS O REFRIGERADOS:
02063010;02063010 - - - PIEL
02063090;02063090 - - - OTROS
02064000;02064000 - - DE LA ESPECIE PORCINA, CONGELADOS:
02064100;02064100 - - - Hígados
02064900;02064900 - - - LOS DEMAS:
02064910;02064910 - - - - PIEL
02064990;02064990 - - - - OTROS
02068000;02068000 - - Los demás, frescos o refrigerados
02069000;02069000 - - Los demás, congelados
0207;0207 - CARNE Y DESPOJOS COMESTIBLES, DE AVES DE LA PARTIDA 0105, FR
02071000;02071000 - - DE GALLO O GALLINA:
02071100;02071100 - - - SIN TROCEAR, FRESCOS O REFRIGERADOS
02071200;02071200 - - - SIN TROCEAR, CONGELADOS
02071300;02071300 - - - TROZOS Y DESPOJOS, FRESCOS O REFRIGERADOS:
02071310;02071310 - - - - En pasta, deshuesados mecánicamente
02071390;02071390 - - - - OTROS:
02071391;02071391 - - - - - PECHUGAS
02071392;02071392 - ---- Alas
02071393;02071393 - - - - - Muslos, piernas, incluso unidos
02071394;02071394 - - - - - Trozos que incluyan en su presentaci¢n muslos, piern
02071399;02071399 - - - - - Los demás
02071400;02071400 - - - TROZOS Y DESPOJOS, CONGELADOS:
02071410;02071410 - - - - En pasta, deshuesados mecánicamente
02071490;02071490 - - - - OTROS:
02071491;02071491 - - - - - PECHUGAS
02071492;02071492 - - - - - Alas
02071493;02071493 - - - - - Muslos, piernas, incluso unidos
02071494;02071494 - - - - - Trozos que incluyan en su presentaci¢n muslos, piern
02071499;02071499 - - - - - Los demás
02072000;02072000 - - DE PAVO (GALLIPAVO):
02072400;02072400 - - - SIN TROCEAR, FRESCOS O REFRIGERADOS
02072500;02072500 - - - SIN TROCEAR, CONGELADOS
02072600;02072600 - - - TROZOS Y DESPOJOS, FRESCOS O REFRIGERADOS:
02072610;02072610 - - - - En pasta, deshuesados mecánicamente
02072690;02072690 - - - - OTROS
02072700;02072700 - - - TROZOS Y DESPOJOS, CONGELADOS:
02072710;02072710 - - - - En pasta, deshuesados mecánicamente
02072790;02072790 - - - - OTROS
02073000;02073000 - - DE PATO, GANSO O PINTADA:
02073200;02073200 - - - SIN TROCEAR, FRESCOS O REFRIGERADOS
02073300;02073300 - - - SIN TROCEAR, CONGELADOS
02073400;02073400 - - - Hígados grasos, frescos o refrigerados
02073500;02073500 - - - LOS DEMAS, FRESCOS O REFRIGERADOS
02073510;02073510 - - - - En pasta, deshuesados mecánicamente
02073590;02073590 - - - - OTROS
02073600;02073600 - - - LOS DEMAS, CONGELADOS
02073610;02073610 - - - - En pasta, deshuesados mecánicamente
02073690;02073690 - - - Otros
02074100;02074100 - - - Sin trocear, frescos o refrigerados
02074200;02074200 - - - Sin trocear, congelados
02074300;02074300 - - - Higados grasos, frescos o refrigerados
02074410;02074410 - - - - En pasta, deshuesados mecanicamente
02074490;02074490 - - - - Otros
02074510;02074510 - - - - En pasta, deshuesados mecanicamente
02074590;02074590 - - - - Otros
02075100;02075100 - - - Sin trocear, frescos o refrigerados
02075200;02075200 - - - Sin trocear, congelados
02075300;02075300 - - - Higados grasos, frescos o refrigerados
02075410;02075410 - - - - En pasta, deshuesados mecanicamente
02075490;02075490 - - - - Otros
02075510;02075510 - - - - En pasta, deshuesados mecanicamente
02075590;02075590 - - - - Otros
02076010;02076010 - - - Sin trocear, frescos o refrigerados
02076020;02076020 - - - Sin trocear, congelados
02076030;02076030 - - - Higados grasos, frescos o refrigerados
02076041;02076041 - - - - En pasta, deshuesados mecanicamente
02076049;02076049 - - - - Otros
02076051;02076051 - - - - En pasta, deshuesados mecanicamente
02076059;02076059 - - - - Otros
0208;0208 - LAS DEMAS CARNES Y DESPOJOS COMESTIBLES, FRESCOS, REFRIGERAD
02081000;02081000 - - DE CONEJO O LIEBRE
02082000;02082000 - - ANCAS (PATAS) DE RANA
02083000;02083000 - - De primates
02084000;02084000 - - De ballenas, delfines y marsopas (mamíferos del orden Cetá
02085000;02085000 - - De reptiles (incluidas las serpientes y tortugas de mar)
02086000;02086000 - - De camellos y demas camelidos (Camelidae)
02089000;02089000 - - Los demás
02089010;02089010 - - - Ancas (patas) de rana
02089090;02089090 - - - Otros
0209;0209 - TOCINO SIN PARTES MAGRAS Y GRASA DE CERDO O DE AVE SIN FUNDI
02090010;02090010 - - TOCINO
02090020;02090020 - - GRASA DE CERDO
02090030;02090030 - - GRASA DE AVE
02091010;02091010 - - - Tocino
02091020;02091020 - - - Grasa de cerdo
02099000;02099000 - - Los demas
0210;0210 - CARNE Y DESPOJOS COMESTIBLES, SALADOS O EN SALMUERA, SECOS O
02101000;02101000 - - CARNE DE LA ESPECIE PORCINA:
02101100;02101100 - ---Jamones salados, secos (especialmente por deshidrataci¢n 
02101110;02101110 - ---Jamones salados, secos(especialmente por deshidrataci¢n o por liofilizaci¢n) o ahumad
02101190;02101190 - ---Otros
02101200;02101200 - - - TOCINO ENTREVERADO DE PANZA (PANCETA) Y SUS TROZOS
02101900;02101900 - - - Las demás
02102000;02102000 - - CARNE DE LA ESPECIE BOVINA
02109000;02109000 - - LOS DEMAS, INCLUIDOS LA HARINA Y POLVO COMESTIBLE, DE CARN
02109010;02109010 - - - HIGADOS DE AVE SALADOS O EN SALMUERA
02109020;02109020 - - - HIGADOS DE AVE SECOS O AHUMADOS
02109030;02109030 - - - HARINA Y POLVO, DE CARNE O DE DESPOJOS
02109090;02109090 - - - OTROS
02109100;02109100 - - - De primates
02109200;02109200 - - - De ballenas, delfines y marsopas (mamíferos del orden Ce
02109210;02109210 - - - - De otarios y focas, leones marinos y morsas (mamiferos
02109290;02109290 - - - - De otros animales
02109300;02109300 - - - De reptiles (incluidas las serpientes y tortugas de mar)
02109910;02109910 - - - - Hígados de ave salados o en salmuera
02109920;02109920 - - - - Hígados de ave secos o  ahumados
02109930;02109930 - - - Harina y polvo, de carne o de despojos
02109990;02109990 - - - Otros
03;03 - PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI
0301;0301 - PECES O PESCADOS, VIVOS
03011000;03011000 - - PECES ORNAMENTALES
03011100;03011100 - - - De agua dulce
03011900;03011900 - - - Los demas
03019000;03019000 - - LOS DEMAS PECES O PESCADOS, VIVOS:
03019100;03019100 - - - TRUCHAS (SALMO TRUTTA, ONCORHYNCHUS MYKISS, ONCORHYNCHUS
03019110;03019110 - - - - Larvas para repoblación
03019190;03019190 - - - - OTRAS
03019200;03019200 - - - ANGUILAS (ANGUILLA SPP.):
03019210;03019210 - - - - Larvas para repoblación
03019290;03019290 - - - - OTRAS
03019300;03019300 - - - CARPAS:
03019310;03019310 - - - - Larvas para repoblación
03019320;03019320 -  - - - Larvas para repoblacion de las demas especies
03019390;03019390 - - - - OTRAS
03019400;03019400 - - - Atunes comunes o de aleta azul (Thunnus thynnus)
03019500;03019500 - - - Atunes del sur (Thunnus  maccoyii)
03019900;03019900 - - - LOS DEMAS:
03019910;03019910 - - - - Larvas para repoblación
03019990;03019990 - - - - Los demás:
03019991;03019991 - - - - - Atunes (del género Thunnus), listados o bonitos de v
03019999;03019999 - - - - - Los demás
0302;0302 - PESCADO FRESCO O REFRIGERADO, EXCEPTO LOS FILETES Y DEMAS CA
03021000;03021000 - - SALMONIDOS, EXCEPTO HIGADOS, HUEVAS Y LECHAS:
03021100;03021100 - - - Truchas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus
03021200;03021200 - - - Salmones del Pacífico (Oncorhynchus nerka, Oncorhynchus 
03021300;03021300 - - - Salmones del Pacifico (Oncorhynchus nerka, Oncorhynchus 
03021400;03021400 - - - Salmones del Atlantico (Salmo salar) y salmones del Danu
03021900;03021900 - - - Los demás
03022000;03022000 - - PESCADOS PLANOS (PLEURONECTIDOS, BOTIDOS, CYNOGLOSIDOS, SO
03022100;03022100 - - - Halibut (fletán) (Reinhardtius hippoglossoides, Hippoglo
03022200;03022200 - - - SOLLAS (PLEURONECTES PLATESSA)
03022300;03022300 - - - LENGUADOS (SOLEA SPP.)
03022400;03022400 - - - Rodaballos (Psetta maxima, Scophthalmidae)
03022900;03022900 - - - Los demás
03023000;03023000 - - ATUNES (DEL GENERO THUNNUS), LISTADOS O BONITOS DE VIENTRE
03023100;03023100 - - - ALBACORAS O ATUNES BLANCOS (THUNNUS ALALUNGA)
03023200;03023200 - - - ATUNES DE ALETA AMARILLA (RABILES) (THUNNUS ALBACARES)
03023300;03023300 - - - LISTADOS O BONITOS DE VIENTRE RAYADO
03023400;03023400 - - - Atunes ojo grande (Patudos) (Thunnus obesus)
03023500;03023500 - - - Atunes de aleta azul  (comunes) (Thunnus thynnus)
03023600;03023600 - - - Atunes del sur (Thunnus maccoyii)
03023900;03023900 - - - Los demás
03024000;03024000 - - ARENQUES (CLUPEA HARENGUS, CLUPEA PALLASII)EXCEPTO HIGADOS
03024100;03024100 - - - Arenques (Clupea harengus, Clupea pallasii)
03024200;03024200 - - - Anchoas (Engraulis spp.)
03024300;03024300 - - - Sardinas (Sardina pilchardus, Sardinops spp.), sardinela
03024400;03024400 - - - Caballas (macarelas) (Scomber scombrus, Scomber australa
03024500;03024500 - - - Jureles (Trachurus spp.)
03024600;03024600 - - - Cobias (Rachycentron canadum)
03024700;03024700 - - - Peces espada (Xiphias gladius)
03024900;03024900 -  - - Los demas
03025000;03025000 - - BACALAOS (GADUS MORHUA,GADUS OGAC,GADUS MACROCEPHALUS),EXC
03025100;03025100 - - - Bacalaos (Gadus morhua, Gadus ogac, Gadus macrocephalus)
03025200;03025200 - - - Eglefinos (Melanogrammus aeglefinus)
03025300;03025300 - - - Carboneros (Pollachius virens)
03025400;03025400 - - - Merluzas (Merluccius spp., Urophycis spp.)
03025500;03025500 - - - Abadejo de Alaska (Theraga chalcogramma)
03025600;03025600 - - - Bacaladillas (Micromesistius poutassou, Micromesistius a
03025900;03025900 - - - Los demas
03026000;03026000 - - LOS DEMAS PESCADOS, EXCEPTO HIGADOS, HUEVAS Y LECHAS:
03026100;03026100 - - - SARDINAS (SARDINA PILCHARDUS, SARDINOPS SPP.), SARDINELA
03026200;03026200 - - - EGLEFINOS (MELANOGRAMMUS AEGLEFINUS)
03026300;03026300 - - - CARBONEROS (POLLACHIUS VIRENS)
03026400;03026400 - - - Caballas (macarelas) (Scomber scombrus, Scomber australa
03026500;03026500 - - - ESCUALOS
03026600;03026600 - - - ANGUILAS (ANGUILLA SPP)
03026700;03026700 - - - Peces espada (Xiphias gladius)
03026800;03026800 - - - Austromerluza antartica y austromerluza negra (merluza n
03026900;03026900 - - - LOS DEMAS:
03026920;03026920 - - - - PARGOS (LUTJANUS SPP.)
03026930;03026930 - - - - DORADOS (EPINEPHELUS HIPPURUS)
03026940;03026940 - - - - CABRILLAS (EPINEPHELUS SPP., PARALABRAX SPP)
03026950;03026950 - - - - CORVINAS (SCIAENA SPP.)
03026960;03026960 - - - - MARLINES (MAKARIA SPP., TETRAPTURUS SPP.)
03026970;03026970 - - - - TILAPIAS (TILAPIA SPP.)
03026980;03026980 - - - - MEROS (EPINEPHELUS GUAZA)
03026990;03026990 - ----Sardinas
03026991;03026991 - ---Sardinas
03026999;03026999 - --- Los dem s
03027000;03027000 - - Hígados, huevas y lechas
03027100;03027100 - - - Tilapias (Oreochromis spp.)
03027200;03027200 - - - Bagres o pez gato (Pangasius spp., Silurus spp., Clarias
03027300;03027300 - - - Carpas (Cyprinus carpio, Carassius carassius, Ctenophary
03027400;03027400 - - - Anguilas (Anguilla spp.)
03027900;03027900 - - - Los demas
03028100;03028100 - - - Cazones y demas escualos
03028200;03028200 - - - Rayas (Rajidae)
03028300;03028300 - - - Austromerluza antartica y austromerluza negra (merluza n
03028400;03028400 - - - Robalos (Dicentrarchus spp.)
03028500;03028500 - - - Sargos (Esparidos) (Sparidae)
03028910;03028910 - - - - Pargos (Lutjanus spp.)
03028920;03028920 - - - - Dorados (Coryphaena hippurus)
03028930;03028930 - - - - Cabrillas (Epinephelus spp., Paralabrax spp.)
03028940;03028940 - - - - Corvinas (Sciaena spp.)
03028950;03028950 - - - - Marlines (Makaira spp., Tetrapturus spp.)
03028960;03028960 - - - - Las demas tilapias, excepto las que se clasifican en e
03028970;03028970 - - - - Meros (Epinephelus guaza)
03028990;03028990 - - - - Otros
03029000;03029000 - - Higados, huevas y lechas
03029100;03029100 -  - - Higados, huevas y lechas
03029200;03029200 -  - - Aletas de tiburon
03029910;03029910 -  - - - De atunes, listados o bonitos de vientre rayado, sard
03029920;03029920 -  - - - De salmonidos (excepto de truchas), pescados planos, 
03029990;03029990 -  - - - Otros
0303;0303 - PESCADO CONGELADO, EXCEPTO LOS FILETES Y DEMAS CARNE DE PESC
03031000;03031000 - - SALMONES DEL PACIFICO (ONCORHYNCHUS NERKA, ONCORHYCHUS GOR
03031100;03031100 - - - Salmones rojos (Oncorhynchus nerka)
03031200;03031200 - - - Los demas salmones del Pacifico (Oncorhynchus gorbuscha,
03031300;03031300 - - - Salmones del Atlantico (Salmo salar) y salmones del Danu
03031400;03031400 - - - Truchas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus
03031900;03031900 - - - Los demás
03032000;03032000 - - LOS DEMAS SALMONIDOS, EXCEPTO HIGADOS, HUEVAS Y LECHAS:
03032100;03032100 - - - Truchas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus
03032200;03032200 - - - Salmones del Atlántico (Salmo salar) y salmones del Danu
03032300;03032300 - - - Tilapias (Oreochromis spp.)
03032400;03032400 - - - Bagres o pez gato (Pangasius spp., Silurus spp., Clarias
03032500;03032500 - - - Carpas (Cyprinus carpio, Carassius carassius, Ctenophary
03032600;03032600 - - - Anguilas (Anguilla spp.)
03032900;03032900 - - - Los demás
03033000;03033000 - - PESCADOS PLANOS (PLEURONECTIDOS, BOTIDOS, CYNOGLOSIDOS, SO
03033100;03033100 - - - Halibut (fletán) (Reinhardtius hippoglossoides, Hippoglo
03033200;03033200 - - - SOLLAS (PLEURONECTES PLATESSA)
03033300;03033300 - - - LENGUADOS (SOLEA SPP.)
03033400;03033400 - - - Rodaballos (Psetta maxima, Scophthalmidae)
03033900;03033900 - - - Los demás
03034000;03034000 - - ATUNES (DEL GENERO THUNNUS), LISTADOS O BONITOS DE VIENTRE
03034100;03034100 - - - ALBACORAS O ATUNES BLANCOS (THUNNUS ALALUNGA)
03034200;03034200 - - - ATUNES DE ALETA AMARILLA (RABILES) THUNNUS ALBACARES)
03034300;03034300 - - - LISTADOS O BONITOS DE VIENTRE RAYADO
03034400;03034400 - - - Atunes ojo grande (Patudos) (Thunnus obesus)
03034500;03034500 - - - Atunes de aleta azul (comunes) (Thunnus thynnus)
03034600;03034600 - - - Atunes del sur (Thunnus maccoyii)
03034900;03034900 - - - Los demás
03035000;03035000 - - Arenques (Clupea harengus, Clupea pallasii), excepto hígad
03035100;03035100 - - - Arenques (Clupea harengus, Clupea pallasii)
03035200;03035200 - - - Bacalaos (Gadus morhua, Gadus ogac, Gadus macrocephalus)
03035300;03035300 - - - Sardinas (Sardina pilchardus, Sardinops spp.), sardinela
03035400;03035400 - - - Caballas (macarelas) (Scomber scombrus, Scomber australa
03035500;03035500 - - - Jureles (Trachurus spp.)
03035600;03035600 - - - Cobias (Rachycentron canadum)
03035700;03035700 - - - Peces espada (Xiphias gladius)
03035900;03035900 -  - - Los demas
03036000;03036000 - - Bacalaos (Gadus morhua, Gadus ogac, Gadus macrocephalus), 
03036100;03036100 - - - Peces espada (Xiphias gladius)
03036200;03036200 - - - Austromerluza antartica y austromerluza negra (merluza n
03036300;03036300 - - - Bacalaos (Gadus morhua, Gadus ogac, Gadus macrocephalus)
03036400;03036400 - - - Eglefinos (Melanogrammus aeglefinus)
03036500;03036500 - - - Carboneros (Pollachius virens)
03036600;03036600 - - - Merluzas (Merluccius spp., Urophycis spp.)
03036700;03036700 - - - Abadejo de Alaska (Theraga chalcogramma)
03036800;03036800 - - - Bacaladillas (Micromesistius poutassou, Micromesistius a
03036900;03036900 - - - Los demas
03037000;03037000 - - LOS DEMAS PESCADOS, EXCEPTO HIGADOS, HUEVAS Y LECHAS:
03037100;03037100 - - - SARDINAS (SARDINA PILCHARDUS, SARDINOPS SPP.), SARDINELA
03037200;03037200 - - - EGLEFINOS (MELANOGRAMMUS AEGLEFINUS)
03037300;03037300 - - - CARBONEROS (POLLACHIUS VIRENS)
03037400;03037400 - - - CABALLAS (MACARELAS)(SCOMBER SCOMBRUS, SCOMBER AUSTRALAS
03037500;03037500 - - - ESCUALOS
03037600;03037600 - - - ANGUILAS (ANGUILLA SPP.)
03037700;03037700 - - - ROBALOS (DICENTRARCHUS LABRAX, DICENTRARCHUS PUNTATUS
03037800;03037800 - - - MERLUZAS (MERLUCCIUS SPP., UROPHYCIS SPP.)
03037900;03037900 - ---De pargo, corvina y baz
03037910;03037910 - ---De pargo, corvina y baz
03037990;03037990 - ---Otros
03038000;03038000 - - Hígados, huevas y lechas
03038100;03038100 - - - Cazones y demas escualos
03038200;03038200 - - - Rayas (Rajidae)
03038300;03038300 - - - Austromerluza antartica y austromerluza negra (merluza n
03038400;03038400 - - - Robalos (Dicentrarchus spp.)
03038900;03038900 - - - Los demas
03039000;03039000 - - Higados, huevas y lechas
03039100;03039100 -  - - Higados, huevas y lechas
03039200;03039200 -  - - Aletas de tiburon
03039910;03039910 -  - - - De atunes, listados o bonitos de vientre rayado, sard
03039920;03039920 -  - - - De Truchas (Salmo trutta, Oncorhynchus mykiss, Oncorh
03039990;03039990 -  - - - Otros
0304;0304 - FILETES Y DEMAS CARNE DE PESCADO (INCLUSO PICADA), FRESCOS, 
03041000;03041000 - --Filetes
03041010;03041010 - --Filetes
03041090;03041090 - --Otros
03041100;03041100 - - - Peces espada (Xiphias gladius)
03041200;03041200 - - - Austromerluza antartica y austromerluza negra (merluza n
03041900;03041900 - - - Los demas
03042000;03042000 - - FILETES CONGELADOS:
03042020;03042020 - - - DE PARGOS
03042030;03042030 - - - DE DORADOS
03042040;03042040 - - - DE CABRILLAS
03042050;03042050 - - - DE CORVINAS
03042060;03042060 - - - DE MARLINES
03042070;03042070 - - - DE TILAPIAS
03042080;03042080 - - - DE MEROS
03042090;03042090 - ---Sardinas
03042091;03042091 - ---Sardinas
03042099;03042099 - ---Los dem s
03042100;03042100 - - - Peces espada (Xiphias gladius)
03042200;03042200 - - - Austromerluza antartica y austromerluza negra (merluza n
03042910;03042910 - - - - Pargos (Lutjanus spp.)
03042920;03042920 - - - - Dorados (Coryphaena hippurus)
03042930;03042930 - - - - Cabrillas (Epinephelus spp., Paralabrax spp.)
03042940;03042940 - - - - Corvinas (Sciaena spp.)
03042950;03042950 - - - - Marlines (Makaria spp., Tetrapturus spp.)
03042960;03042960 - - - - Tilapias (Tilapia spp.)
03042970;03042970 - - - - Meros (Epinephelus guaza)
03042990;03042990 - - - - Otros
03043100;03043100 - - - Tilapias (Oreochromis spp.)
03043200;03043200 - - - Bagres o pez gato (Pangasius spp., Silurus spp., Clarias
03043300;03043300 - - - Percas del Nilo (Lates niloticus)
03043900;03043900 - - - Los demas
03044100;03044100 - - - Salmones del pacifico (Oncorhynchus nerka, Oncorhynchus 
03044200;03044200 - - - Truchas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus
03044300;03044300 - - - Peces planos (Pleuronectidae, Bothidae, Cynoglossidae, S
03044400;03044400 - - - Pescados de las familias Bregmacerotidae, Euclichthyidae
03044500;03044500 - - - Peces espada (Xiphias gladius)
03044600;03044600 - - - Austromerluza antartica y austromerluza negra (merluza n
03044700;03044700 -  - - Cazones y demas escualos
03044800;03044800 -  - - Rayas (Rajidae)
03044900;03044900 - - - Los demas
03045100;03045100 - - - Tilapias (Oreochromis spp.), bagres o pez gato (Pangasiu
03045200;03045200 - - - Salmonidos
03045300;03045300 - - - Pescados de las familias Bregmacerotidae, Euclichthyidae
03045400;03045400 - - - Peces espada (Xiphias gladius)
03045500;03045500 - - - Austromerluza antartica y austromerluza negra (merluza n
03045600;03045600 -  - - Cazones y demas escualos
03045700;03045700 -  - - Rayas (Rajidae)
03045900;03045900 - - - Los demas
03046100;03046100 - - - Tilapias (Oreochromis spp.)
03046200;03046200 - - - Bagres o pez gato (Pangasius spp., Silurus spp., Clarias
03046300;03046300 - - - Percas del Nilo (Lates niloticus)
03046900;03046900 - - - Los demas
03047100;03047100 - - - Bacalaos (Gadus morhua, Gadus ogac, Gadus macrocephalus)
03047200;03047200 - - - Eglefinos (Melanogrammus aeglefinus)
03047300;03047300 - - - Carboneros (Pollachius virens)
03047400;03047400 - - - Merluzas (Merluccius spp., Urophycis spp.)
03047500;03047500 - - - Abadejo de Alaska (Theraga chalcogramma)
03047900;03047900 - - - Los demas
03048100;03048100 - - - Salmones del Pacifico (Oncorhynchus nerka, Oncorhynchus 
03048200;03048200 - - - Truchas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus
03048300;03048300 - - - Peces planos (Pleuronectidae, Bothidae, Cynoglossidae, S
03048400;03048400 - - - Peces espada (Xiphias gladius)
03048500;03048500 - - - Austromerluza antartica y austromerluza negra (merluza n
03048600;03048600 - - - Arenques (Clupea harengus, Clupea pallasii)
03048700;03048700 - - - Atunes (del genero Thunnus), listados o bonitos de vient
03048800;03048800 -  - - Cazones, demas escualos y rayas (Rajidae)
03048910;03048910 - - - - Pargos (Lutjanus spp.)
03048920;03048920 - - - - Dorados (Coryphaena hippurus)
03048930;03048930 - - - - Cabrillas (Epinephelus spp., Paralabrax
03048940;03048940 - - - - Corvinas (Sciaena spp.)
03048950;03048950 - - - - Marlines (Makaira spp., Tetrapturus spp.)
03048960;03048960 - - - - Las demas tilapias, excepto las que se clasifican en e
03048970;03048970 - - - - Meros (Epinephelus guaza)
03048990;03048990 - - - - Otros
03049000;03049000 - - Las demás
03049100;03049100 - - - Peces espada (Xiphias gladius)
03049200;03049200 - - - Austromerluza antartica y austromerluza negra (merluza n
03049300;03049300 - - - Tilapias (Oreochromis spp.), bagres o pez gato (Pangasiu
